#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:26:42.455008999Z,778,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:32:07.058117148Z,771,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:37:31.659353431Z,775,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:42:56.26067634Z,744,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:48:20.825832183Z,680,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:53:45.608174453Z,622,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:59:10.020720901Z,595,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:04:35.102779944Z,538,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:09:59.578705766Z,497,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:15:24.056734945Z,475,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:20:48.462239954Z,480,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:26:12.954522068Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:31:37.526781402Z,519,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:37:01.92794101Z,545,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:42:26.254142088Z,549,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:47:50.658584671Z,539,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:53:15.145057492Z,528,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T07:58:39.574282609Z,560,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:04:04.337181298Z,619,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:09:29.05429118Z,698,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:14:53.61224968Z,892,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:20:18.731806295Z,1024,CO2,monitor_task,ESP32-5,urbino,Turing
